direction_id,route_id,service_id,shape_id,trip_headsign,trip_id,trip_short_name
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN1049,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN1050,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN1051,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN1052,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN1053,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN1054,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN1055,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN1056,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN1057,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN1058,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN1059,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN1060,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN1061,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN1062,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN1063,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN1064,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN1065,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN1066,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN1067,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN1068,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN1069,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN1070,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN1071,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN1072,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN1073,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN1074,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN1075,
0,ONTLN001,weekday_service,,Ontario Science Centre,OLN1076,
